PTest_5DNU_SHIFL_EC=3.1.3.89_EC_Level=2_ProtLen=199	 Predictions: ==>  3.1.3.89
PTest_NAGK_VIBVU_EC=2.7.1.59_EC_Level=2_ProtLen=303	 Predictions: ==>  2.7.1.59
PTest_TRPB_STAA3_EC=4.2.1.20_EC_Level=2_ProtLen=404	 Predictions: ==>  4.2.1.20
PTest_SAHH_PSEF5_EC=3.3.1.1_EC_Level=2_ProtLen=469	 Predictions: ==>  3.3.1.1
PTest_ENO_FRATN_EC=4.2.1.11_EC_Level=2_ProtLen=456	 Predictions: ==>  4.2.1.11
PTest_BIOD_SULNB_EC=6.3.3.3_EC_Level=2_ProtLen=210	 No Prediction  ==> 
PTest_FMT_SYNR3_EC=2.1.2.9_EC_Level=2_ProtLen=330	 Predictions: ==>  2.1.2.9
PTest_TSAD_ONYPE_EC=2.3.1.234_EC_Level=2_ProtLen=233	 Predictions: ==>  2.3.1.234
PTest_THIM_SALEP_EC=2.7.1.50_EC_Level=2_ProtLen=265	 Predictions: ==>  2.7.1.50
PTest_THIM2_STRR6_EC=2.7.1.50_EC_Level=2_ProtLen=267	 Predictions: ==>  2.7.1.50
PTest_ARGC_BURCA_EC=1.2.1.38_EC_Level=2_ProtLen=313	 Predictions: ==>  1.2.1.38
PTest_DHLE_BACCR_EC=1.4.1.9_EC_Level=2_ProtLen=366	 Predictions: ==>  1.4.1.9
PTest_GTRB_SHIFL_EC=2.4.1_EC_Level=1_ProtLen=309	 Predictions: ==>  2.4.1
PTest_LEUC_ECOLI_EC=4.2.1.33_EC_Level=2_ProtLen=466	 Predictions: ==>  4.2.1.33
PTest_AROE_ECOHS_EC=1.1.1.25_EC_Level=2_ProtLen=272	 Predictions: ==>  1.1.1.25
PTest_MIAA_BRUAB_EC=2.5.1.75_EC_Level=2_ProtLen=310	 Predictions: ==>  2.5.1.75
PTest_MIAA2_BACTN_EC=2.5.1.75_EC_Level=2_ProtLen=306	 Predictions: ==>  2.5.1.75
PTest_SYY_WOLSU_EC=6.1.1.1_EC_Level=2_ProtLen=406	 Predictions: ==>  6.1.1.1
PTest_GLPG_ECO5E_EC=3.4.21.105_EC_Level=2_ProtLen=276	 Predictions: ==>  3.4.21.105
PTest_YBEY_CORA7_EC=3.1_EC_Level=0_ProtLen=191	 Predictions: ==>  3.1
PTest_SYR_BACFN_EC=6.1.1.19_EC_Level=2_ProtLen=597	 Predictions: ==>  6.1.1.19
PTest_NTAQ1_ARATH_EC=3.5.1.122_EC_Level=2_ProtLen=221	 No Prediction  ==> 
PTest_IDI_SALCH_EC=5.3.3.2_EC_Level=2_ProtLen=181	 Predictions: ==>  5.3.3.2
PTest_YCF52_PYRYE_EC=2.3.1_EC_Level=1_ProtLen=174	 Predictions: ==>  2.3.1.48
PTest_CPGP1_ZINOF_EC=3.4.22.67_EC_Level=2_ProtLen=221	 Predictions: ==>  3.4.22~6.1.1.4
PTest_SYDND_ANAD2_EC=6.1.1.23_EC_Level=2_ProtLen=603	 Predictions: ==>  6.1.1
PTest_CBIA_LEPIC_EC=6.3.5.11_EC_Level=2_ProtLen=454	 Predictions: ==>  6.3.5
PTest_RAPA_SHESH_EC=3.6.4_EC_Level=1_ProtLen=968	 Predictions: ==>  3.6.4
PTest_KGUA_SYNAS_EC=2.7.4.8_EC_Level=2_ProtLen=207	 No Prediction  ==> 
PTest_RUTB_METRJ_EC=3.5.1.110_EC_Level=2_ProtLen=258	 Predictions: ==>  3.5.1.110
PTest_RPOC_CHLPM_EC=2.7.7.6_EC_Level=2_ProtLen=1484	 Predictions: ==>  2.7.7.6
PTest_RIMO_CLOBA_EC=2.8.4.4_EC_Level=2_ProtLen=446	 Predictions: ==>  2.8.4.4
PTest_LPXB1_LEGPA_EC=2.4.1.182_EC_Level=2_ProtLen=384	 Predictions: ==>  2.4.1.182
PTest_EST5C_DROPE_EC=3.1.1.1_EC_Level=2_ProtLen=545	 Predictions: ==>  3.1.1.1
